"month","subject","checkouts"
2021-11-01,autobiographies,3727
2021-11-01,mythology,3601
2021-11-01,biographies,3556
2021-11-01,juvenile nonfiction,3009
2021-11-01,medical,2828
2021-11-01,philosophy,2616
2021-11-01,military,2575
2021-11-01,sports & recreations,2512
2021-11-01,travel,2509
2021-11-01,performing arts,2385
2021-11-01,literary criticism,2140
2021-11-01,reference,1940
2021-11-01,true crime,1922
2021-11-01,folklore,1891
2021-11-01,economics,1856
2021-11-01,self help,1827
2021-11-01,instructional and educational works,1821
2021-11-01,nonfiction comics,1760
2021-11-01,technology,1529
2021-11-01,art,1525
2021-11-01,language arts,1398
2021-11-01,finance,1391
2021-11-01,guidebooks,1351
2021-11-01,crafts,1173
2021-11-01,computer technology,1128
2021-11-01,home design & décor,1122
2021-11-01,music,1103
2021-11-01,cooking,973
2021-11-01,anecdotes,967
2021-11-01,recipes,942
2021-11-01,spanish language materials,928
2021-11-01,education,878
2021-11-01,handbooks and manuals,818
2021-11-01,songs,806
2021-11-01,lgbtqia+ (nonfiction),804
2021-11-01,baking,738
2021-11-01,law,731
2021-11-01,gardening,675
2021-11-01,quick and easy cooking,614
2021-11-01,careers,598
2021-11-01,pets,525
2021-11-01,mathematics,512
2021-11-01,cooking natural foods,317
2021-10-01,biography & autobiography,23468
2021-10-01,history,15887
2021-10-01,sociology,14265
2021-10-01,self-improvement,13873
2021-10-01,business,12025
2021-10-01,psychology,9140
2021-10-01,politics,7970
2021-10-01,science,7875
2021-10-01,cookbooks,6079
2021-10-01,cooking & food,6071
2021-10-01,family & relationships,5854
2021-10-01,health & fitness,5678
2021-10-01,new age,4787
2021-10-01,essays,4692
2021-10-01,religion & spirituality,4525
2021-10-01,nature,4052
2021-10-01,humor (nonfiction),3945
2021-10-01,autobiographies,3819
2021-10-01,biographies,3658
2021-10-01,mythology,3605
2021-10-01,medical,3153
2021-10-01,juvenile nonfiction,2793
2021-10-01,philosophy,2464
2021-10-01,travel,2388
2021-10-01,sports & recreations,2387
2021-10-01,literary criticism,2313
2021-10-01,performing arts,2274
2021-10-01,military,2227
2021-10-01,true crime,2096
2021-10-01,folklore,1956
2021-10-01,instructional and educational works,1850
2021-10-01,economics,1792
2021-10-01,self help,1738
2021-10-01,reference,1720
2021-10-01,technology,1558
2021-10-01,nonfiction comics,1502
2021-10-01,art,1449
2021-10-01,language arts,1399
2021-10-01,music,1300
2021-10-01,finance,1298
2021-10-01,guidebooks,1244
2021-10-01,recipes,1106
2021-10-01,home design & décor,1083
2021-10-01,cooking,1076
2021-10-01,crafts,1048
2021-10-01,computer technology,1021
2021-10-01,law,975
2021-10-01,songs,951
2021-10-01,spanish language materials,919
2021-10-01,education,904
2021-10-01,handbooks and manuals,889
2021-10-01,anecdotes,830
2021-10-01,gardening,763
2021-10-01,lgbtqia+ (nonfiction),733
2021-10-01,baking,629
2021-10-01,quick and easy cooking,627
2021-10-01,careers,560
2021-10-01,mathematics,550
2021-10-01,pets,544
2021-10-01,cooking natural foods,323
2021-09-01,biography & autobiography,22167
2021-09-01,history,15882
2021-09-01,sociology,14282
2021-09-01,self-improvement,13934
2021-09-01,business,11338
2021-09-01,psychology,9009
2021-09-01,politics,7972
2021-09-01,science,7821
2021-09-01,cooking & food,6212
2021-09-01,cookbooks,5979
2021-09-01,family & relationships,5766
2021-09-01,health & fitness,5755
2021-09-01,new age,4406
2021-09-01,essays,4334
2021-09-01,religion & spirituality,4241
2021-09-01,nature,3969
2021-09-01,humor (nonfiction),3691
2021-09-01,autobiographies,3352
2021-09-01,mythology,3215
2021-09-01,biographies,3106
2021-09-01,medical,2991
2021-09-01,travel,2721
2021-09-01,juvenile nonfiction,2578
2021-09-01,sports & recreations,2443
2021-09-01,philosophy,2428
2021-09-01,military,2352
2021-09-01,true crime,2213
2021-09-01,literary criticism,2189
2021-09-01,performing arts,1989
2021-09-01,reference,1978
2021-09-01,instructional and educational works,1923
2021-09-01,folklore,1741
2021-09-01,self help,1713
2021-09-01,economics,1688
2021-09-01,nonfiction comics,1639
2021-09-01,technology,1483
2021-09-01,language arts,1430
2021-09-01,art,1374
2021-09-01,finance,1257
2021-09-01,home design & décor,1184
2021-09-01,education,1166
2021-09-01,guidebooks,1165
2021-09-01,recipes,1104
2021-09-01,computer technology,956
2021-09-01,cooking,945
2021-09-01,spanish language materials,891
2021-09-01,handbooks and manuals,834
2021-09-01,music,831
2021-09-01,songs,831
2021-09-01,gardening,823
2021-09-01,crafts,816
2021-09-01,law,748
2021-09-01,lgbtqia+ (nonfiction),746
2021-09-01,baking,629
2021-09-01,quick and easy cooking,588
2021-09-01,mathematics,586
2021-09-01,pets,504
2021-09-01,careers,479
2021-09-01,anecdotes,359
2021-09-01,cooking natural foods,340
2021-08-01,biography & autobiography,24532
2021-08-01,history,17537
2021-08-01,sociology,15014
2021-08-01,self-improvement,14916
2021-08-01,business,12373
2021-08-01,psychology,9859
2021-08-01,politics,8688
2021-08-01,science,8182
2021-08-01,health & fitness,6584
2021-08-01,cooking & food,6457
2021-08-01,family & relationships,6384
2021-08-01,cookbooks,5244
2021-08-01,religion & spirituality,4865
2021-08-01,essays,4677
2021-08-01,new age,4477
2021-08-01,humor (nonfiction),3968
2021-08-01,mythology,3844
2021-08-01,nature,3811
2021-08-01,medical,3295
2021-08-01,autobiographies,3125
2021-08-01,travel,3028
2021-08-01,biographies,2938
2021-08-01,sports & recreations,2818
2021-08-01,juvenile nonfiction,2705
2021-08-01,military,2488
2021-08-01,philosophy,2460
2021-08-01,true crime,2377
2021-08-01,performing arts,2270
2021-08-01,literary criticism,2211
2021-08-01,folklore,2070
2021-08-01,reference,1959
2021-08-01,nonfiction comics,1914
2021-08-01,self help,1829
2021-08-01,economics,1812
2021-08-01,instructional and educational works,1711
2021-08-01,technology,1588
2021-08-01,art,1505
2021-08-01,finance,1490
2021-08-01,language arts,1431
2021-08-01,guidebooks,1262
2021-08-01,home design & décor,1163
2021-08-01,computer technology,1078
2021-08-01,education,1048
2021-08-01,lgbtqia+ (nonfiction),1014
2021-08-01,gardening,963
2021-08-01,music,917
2021-08-01,crafts,902
2021-08-01,handbooks and manuals,896
2021-08-01,recipes,873
2021-08-01,cooking,740
2021-08-01,law,723
2021-08-01,spanish language materials,689
2021-08-01,songs,668
2021-08-01,baking,662
2021-08-01,mathematics,600
2021-08-01,pets,597
2021-08-01,careers,545
2021-08-01,quick and easy cooking,511
2021-08-01,anecdotes,404
2021-08-01,cooking natural foods,339
2021-07-01,biography & autobiography,22700
2021-07-01,history,16449
2021-07-01,sociology,15529
2021-07-01,self-improvement,14156
2021-07-01,business,12149
2021-07-01,psychology,9550
2021-07-01,politics,7748
2021-07-01,science,7129
2021-07-01,cooking & food,6117
2021-07-01,health & fitness,5884
2021-07-01,family & relationships,5811
2021-07-01,cookbooks,5256
2021-07-01,religion & spirituality,4571
2021-07-01,new age,4239
2021-07-01,nature,4229
2021-07-01,essays,4155
2021-07-01,humor (nonfiction),3992
2021-07-01,mythology,3561
2021-07-01,travel,3141
2021-07-01,biographies,3000
2021-07-01,medical,2950
2021-07-01,sports & recreations,2855
2021-07-01,juvenile nonfiction,2637
2021-07-01,autobiographies,2513
2021-07-01,true crime,2418
2021-07-01,philosophy,2347
2021-07-01,military,2183
2021-07-01,performing arts,2064
2021-07-01,literary criticism,2023
2021-07-01,nonfiction comics,1994
2021-07-01,instructional and educational works,1812
2021-07-01,folklore,1810
2021-07-01,self help,1721
2021-07-01,economics,1720
2021-07-01,reference,1713
2021-07-01,technology,1459
2021-07-01,art,1452
2021-07-01,guidebooks,1347
2021-07-01,finance,1317
2021-07-01,language arts,1279
2021-07-01,home design & décor,1128
2021-07-01,recipes,1097
2021-07-01,computer technology,1010
2021-07-01,cooking,994
2021-07-01,music,988
2021-07-01,gardening,953
2021-07-01,education,903
2021-07-01,crafts,863
2021-07-01,handbooks and manuals,818
2021-07-01,spanish language materials,774
2021-07-01,law,714
2021-07-01,songs,609
2021-07-01,pets,583
2021-07-01,anecdotes,576
2021-07-01,careers,558
2021-07-01,quick and easy cooking,534
2021-07-01,mathematics,479
2021-07-01,baking,426
2021-07-01,cooking natural foods,323
2021-06-01,biography & autobiography,4479
2021-06-01,history,3598
2021-06-01,sociology,2698
2021-06-01,business,2684
2021-06-01,self-improvement,2662
2021-06-01,politics,2113
2021-06-01,psychology,1708
2021-06-01,science,1265
2021-06-01,cooking & food,1093
2021-06-01,health & fitness,1043
2021-06-01,cookbooks,959
2021-06-01,family & relationships,911
2021-06-01,essays,827
2021-06-01,mythology,793
2021-06-01,religion & spirituality,781
2021-06-01,biographies,694
2021-06-01,autobiographies,686
2021-06-01,nature,624
2021-06-01,juvenile nonfiction,575
2021-06-01,sports & recreations,569
2021-06-01,new age,561
2021-06-01,travel,517
2021-06-01,humor (nonfiction),501
2021-06-01,economics,470
2021-06-01,military,422
2021-06-01,self help,403
2021-06-01,medical,399
2021-06-01,philosophy,397
2021-06-01,true crime,391
2021-06-01,folklore,349
2021-06-01,performing arts,349
2021-06-01,nonfiction comics,319
2021-06-01,guidebooks,311
2021-06-01,technology,295
2021-06-01,art,294
2021-06-01,literary criticism,294
2021-06-01,instructional and educational works,277
2021-06-01,reference,252
2021-06-01,finance,246
2021-06-01,home design & décor,221
2021-06-01,language arts,217
2021-06-01,recipes,213
2021-06-01,gardening,212
2021-06-01,music,210
2021-06-01,education,202
2021-06-01,computer technology,198
2021-06-01,songs,188
2021-06-01,handbooks and manuals,178
2021-06-01,cooking,175
2021-06-01,crafts,162
2021-06-01,quick and easy cooking,125
2021-06-01,careers,121
2021-06-01,pets,111
2021-06-01,baking,107
2021-06-01,mathematics,107
2021-06-01,spanish language materials,104
2021-05-01,biography & autobiography,2971
2021-05-01,history,2714
2021-05-01,self-improvement,1802
2021-05-01,sociology,1677
2021-05-01,business,1414
2021-05-01,politics,1323
2021-05-01,psychology,1122
2021-05-01,cooking & food,815
2021-05-01,family & relationships,799
2021-05-01,cookbooks,731
2021-05-01,religion & spirituality,730
2021-05-01,science,727
2021-05-01,health & fitness,675
2021-05-01,essays,492
2021-05-01,juvenile nonfiction,474
2021-05-01,new age,456
2021-05-01,humor (nonfiction),444
2021-05-01,nature,433
2021-05-01,travel,410
2021-05-01,mythology,396
2021-05-01,sports & recreations,361
2021-05-01,medical,348
2021-05-01,military,294
2021-05-01,biographies,275
2021-05-01,folklore,264
2021-05-01,true crime,256
2021-05-01,philosophy,224
2021-05-01,guidebooks,210
2021-05-01,literary criticism,208
2021-05-01,self help,199
2021-05-01,songs,199
2021-05-01,recipes,196
2021-05-01,autobiographies,187
2021-05-01,reference,178
2021-05-01,cooking,173
2021-05-01,performing arts,161
2021-05-01,economics,153
2021-05-01,language arts,151
2021-05-01,instructional and educational works,146
2021-05-01,art,132
2021-05-01,gardening,131
2021-05-01,nonfiction comics,127
2021-05-01,home design & décor,122
2021-05-01,crafts,109
2021-05-01,computer technology,105
2021-05-01,education,104
2021-05-01,handbooks and manuals,103
2021-04-01,biography & autobiography,11762
2021-04-01,history,8496
2021-04-01,sociology,7463
2021-04-01,self-improvement,7008
2021-04-01,business,5963
2021-04-01,politics,5070
2021-04-01,psychology,4423
2021-04-01,science,3583
2021-04-01,health & fitness,2941
2021-04-01,cooking & food,2800
2021-04-01,family & relationships,2728
2021-04-01,cookbooks,2300
2021-04-01,religion & spirituality,2249
2021-04-01,new age,2033
2021-04-01,juvenile nonfiction,1750
2021-04-01,humor (nonfiction),1741
2021-04-01,nature,1739
2021-04-01,essays,1636
2021-04-01,mythology,1633
2021-04-01,travel,1435
2021-04-01,sports & recreations,1273
2021-04-01,medical,1259
2021-04-01,philosophy,1169
2021-04-01,literary criticism,1123
2021-04-01,true crime,1104
2021-04-01,performing arts,1097
2021-04-01,biographies,1060
2021-04-01,folklore,1056
2021-04-01,autobiographies,1022
2021-04-01,military,960
2021-04-01,finance,924
2021-04-01,reference,859
2021-04-01,self help,749
2021-04-01,cooking,747
2021-04-01,economics,733
2021-04-01,technology,669
2021-04-01,computer technology,653
2021-04-01,art,645
2021-04-01,language arts,619
2021-04-01,music,589
2021-04-01,home design & décor,588
2021-04-01,gardening,518
2021-04-01,instructional and educational works,482
2021-04-01,crafts,474
2021-04-01,recipes,423
2021-04-01,education,394
2021-04-01,guidebooks,381
2021-04-01,nonfiction comics,352
2021-04-01,law,342
2021-04-01,songs,306
2021-04-01,careers,291
2021-04-01,pets,288
2021-04-01,anecdotes,278
2021-04-01,handbooks and manuals,243
2021-04-01,spanish language materials,242
2021-04-01,quick and easy cooking,197
2021-04-01,mathematics,167
2021-04-01,baking,156
2021-04-01,cooking natural foods,117
2021-03-01,biography & autobiography,26092
2021-03-01,history,18006
2021-03-01,sociology,17602
2021-03-01,self-improvement,14685
2021-03-01,business,12895
2021-03-01,politics,9603
2021-03-01,psychology,8882
2021-03-01,science,7833
2021-03-01,cooking & food,6245
2021-03-01,health & fitness,6209
2021-03-01,family & relationships,5818
2021-03-01,religion & spirituality,5009
2021-03-01,juvenile nonfiction,4783
2021-03-01,nature,4473
2021-03-01,humor (nonfiction),4364
2021-03-01,essays,4228
2021-03-01,cookbooks,4188
2021-03-01,new age,4150
2021-03-01,mythology,3648
2021-03-01,medical,3059
2021-03-01,philosophy,2696
2021-03-01,biographies,2585
2021-03-01,travel,2537
2021-03-01,sports & recreations,2320
2021-03-01,performing arts,2302
2021-03-01,military,2237
2021-03-01,folklore,2165
2021-03-01,literary criticism,2074
2021-03-01,true crime,2046
2021-03-01,autobiographies,1922
2021-03-01,reference,1902
2021-03-01,economics,1809
2021-03-01,finance,1739
2021-03-01,self help,1634
2021-03-01,art,1621
2021-03-01,technology,1540
2021-03-01,language arts,1538
2021-03-01,home design & décor,1426
2021-03-01,computer technology,1269
2021-03-01,cooking,1180
2021-03-01,crafts,1161
2021-03-01,gardening,1047
2021-03-01,education,1009
2021-03-01,music,923
2021-03-01,instructional and educational works,905
2021-03-01,anecdotes,865
2021-03-01,recipes,808
2021-03-01,nonfiction comics,688
2021-03-01,pets,687
2021-03-01,law,675
2021-03-01,spanish language materials,640
2021-03-01,careers,625
2021-03-01,guidebooks,602
2021-03-01,songs,421
2021-03-01,mathematics,419
2021-03-01,quick and easy cooking,397
2021-03-01,handbooks and manuals,380
2021-03-01,baking,252
2021-03-01,cooking natural foods,232
2021-02-01,biography & autobiography,16565
2021-02-01,sociology,12042
2021-02-01,history,11637
2021-02-01,self-improvement,9615
2021-02-01,business,7482
2021-02-01,politics,6560
2021-02-01,psychology,6002
2021-02-01,science,5113
2021-02-01,health & fitness,4302
2021-02-01,cooking & food,3987
2021-02-01,family & relationships,3725
2021-02-01,essays,3057
2021-02-01,humor (nonfiction),3001
2021-02-01,juvenile nonfiction,2952
2021-02-01,religion & spirituality,2934
2021-02-01,new age,2900
2021-02-01,mythology,2429
2021-02-01,nature,2246
2021-02-01,medical,2220
2021-02-01,cookbooks,2122
2021-02-01,philosophy,1653
2021-02-01,travel,1614
2021-02-01,military,1584
2021-02-01,sports & recreations,1412
2021-02-01,performing arts,1372
2021-02-01,literary criticism,1353
2021-02-01,biographies,1344
2021-02-01,true crime,1309
2021-02-01,reference,1289
2021-02-01,folklore,1269
2021-02-01,self help,1068
2021-02-01,art,1027
2021-02-01,economics,1025
2021-02-01,autobiographies,1000
2021-02-01,language arts,970
2021-02-01,finance,953
2021-02-01,home design & décor,860
2021-02-01,computer technology,854
2021-02-01,technology,822
2021-02-01,crafts,769
2021-02-01,education,621
2021-02-01,law,563
2021-02-01,gardening,546
2021-02-01,music,495
2021-02-01,pets,473
2021-02-01,guidebooks,462
2021-02-01,nonfiction comics,402
2021-02-01,cooking,374
2021-02-01,instructional and educational works,365
2021-02-01,spanish language materials,359
2021-02-01,careers,348
2021-02-01,anecdotes,334
2021-02-01,mathematics,268
2021-02-01,songs,257
2021-02-01,handbooks and manuals,234
2021-02-01,quick and easy cooking,179
2021-02-01,recipes,179
2021-02-01,cooking natural foods,144
2021-02-01,baking,103
2021-01-01,biography & autobiography,5312
2021-01-01,sociology,4553
2021-01-01,history,4219
2021-01-01,self-improvement,3729
2021-01-01,politics,2554
2021-01-01,business,2374
2021-01-01,psychology,1953
2021-01-01,cooking & food,1798
2021-01-01,science,1690
2021-01-01,family & relationships,1600
2021-01-01,health & fitness,1564
2021-01-01,religion & spirituality,1366
2021-01-01,juvenile nonfiction,968
2021-01-01,new age,932
2021-01-01,essays,880
2021-01-01,cookbooks,784
2021-01-01,travel,777
2021-01-01,anecdotes,718
2021-01-01,nature,698
2021-01-01,mythology,664
2021-01-01,sports & recreations,630
2021-01-01,medical,580
2021-01-01,humor (nonfiction),561
2021-01-01,true crime,539
2021-01-01,philosophy,514
2021-01-01,reference,500
2021-01-01,biographies,490
2021-01-01,folklore,465
2021-01-01,performing arts,464
2021-01-01,autobiographies,457
2021-01-01,literary criticism,410
2021-01-01,technology,395
2021-01-01,art,378
2021-01-01,military,356
2021-01-01,education,318
2021-01-01,economics,318
2021-01-01,self help,315
2021-01-01,finance,299
2021-01-01,law,294
2021-01-01,language arts,274
2021-01-01,crafts,264
2021-01-01,home design & décor,256
2021-01-01,computer technology,250
2021-01-01,gardening,205
2021-01-01,music,189
2021-01-01,cooking,182
2021-01-01,songs,137
2021-01-01,pets,129
2021-01-01,careers,123
2021-01-01,handbooks and manuals,122
2021-01-01,nonfiction comics,112
2021-01-01,spanish language materials,102
2020-12-01,biography & autobiography,5263
2020-12-01,history,3321
2020-12-01,sociology,3011
2020-12-01,self-improvement,2584
2020-12-01,business,2283
2020-12-01,politics,2084
2020-12-01,cooking & food,1806
2020-12-01,religion & spirituality,1633
2020-12-01,psychology,1514
2020-12-01,science,1444
2020-12-01,essays,1337
2020-12-01,family & relationships,1138
2020-12-01,nature,1003
2020-12-01,health & fitness,969
2020-12-01,juvenile nonfiction,862
2020-12-01,humor (nonfiction),721
2020-12-01,new age,709
2020-12-01,cookbooks,642
2020-12-01,mythology,609
2020-12-01,technology,591
2020-12-01,philosophy,541
2020-12-01,travel,532
2020-12-01,literary criticism,511
2020-12-01,military,497
2020-12-01,art,467
2020-12-01,reference,457
2020-12-01,sports & recreations,444
2020-12-01,folklore,432
2020-12-01,performing arts,409
2020-12-01,medical,403
2020-12-01,anecdotes,369
2020-12-01,crafts,363
2020-12-01,computer technology,355
2020-12-01,finance,331
2020-12-01,home design & décor,317
2020-12-01,true crime,295
2020-12-01,biographies,290
2020-12-01,economics,279
2020-12-01,education,270
2020-12-01,autobiographies,261
2020-12-01,language arts,243
2020-12-01,self help,230
2020-12-01,cooking,164
2020-12-01,music,148
2020-12-01,gardening,147
2020-12-01,law,143
2020-12-01,songs,140
2020-12-01,pets,131
2020-11-01,biography & autobiography,10069
2020-11-01,history,7320
2020-11-01,sociology,6341
2020-11-01,self-improvement,5157
2020-11-01,politics,4493
2020-11-01,business,4023
2020-11-01,cooking & food,2807
2020-11-01,science,2625
2020-11-01,psychology,2581
2020-11-01,religion & spirituality,2142
2020-11-01,essays,2123
2020-11-01,family & relationships,1909
2020-11-01,humor (nonfiction),1895
2020-11-01,health & fitness,1893
2020-11-01,juvenile nonfiction,1706
2020-11-01,new age,1447
2020-11-01,nature,1439
2020-11-01,mythology,1380
2020-11-01,cookbooks,1155
2020-11-01,true crime,1113
2020-11-01,philosophy,1022
2020-11-01,travel,993
2020-11-01,performing arts,984
2020-11-01,medical,961
2020-11-01,literary criticism,948
2020-11-01,sports & recreations,880
2020-11-01,reference,866
2020-11-01,autobiographies,766
2020-11-01,military,738
2020-11-01,language arts,705
2020-11-01,folklore,690
2020-11-01,home design & décor,656
2020-11-01,art,622
2020-11-01,crafts,574
2020-11-01,finance,527
2020-11-01,technology,520
2020-11-01,economics,496
2020-11-01,computer technology,465
2020-11-01,self help,395
2020-11-01,cooking,393
2020-11-01,music,379
2020-11-01,education,370
2020-11-01,law,351
2020-11-01,biographies,285
2020-11-01,pets,204
2020-11-01,gardening,202
2020-11-01,careers,194
2020-11-01,mathematics,171
2020-11-01,songs,163
2020-11-01,anecdotes,156
2020-11-01,nonfiction comics,150
2020-11-01,quick and easy cooking,127
2020-11-01,guidebooks,115
2020-11-01,handbooks and manuals,105
2020-11-01,instructional and educational works,104
2020-10-01,biography & autobiography,6141
2020-10-01,history,4205
2020-10-01,sociology,3456
2020-10-01,politics,2851
2020-10-01,self-improvement,2688
2020-10-01,business,2643
2020-10-01,science,1995
2020-10-01,cooking & food,1891
2020-10-01,psychology,1833
2020-10-01,essays,1274
2020-10-01,health & fitness,1243
2020-10-01,family & relationships,1217
2020-10-01,humor (nonfiction),1214
2020-10-01,juvenile nonfiction,1099
2020-10-01,nature,999
2020-10-01,religion & spirituality,953
2020-10-01,new age,884
2020-10-01,mythology,882
2020-10-01,medical,687
2020-10-01,travel,684
2020-10-01,cookbooks,657
2020-10-01,performing arts,625
2020-10-01,philosophy,569
2020-10-01,folklore,567
2020-10-01,sports & recreations,563
2020-10-01,literary criticism,538
2020-10-01,reference,532
2020-10-01,true crime,502
2020-10-01,military,501
2020-10-01,economics,443
2020-10-01,art,409
2020-10-01,law,407
2020-10-01,home design & décor,391
2020-10-01,crafts,323
2020-10-01,computer technology,320
2020-10-01,finance,313
2020-10-01,language arts,311
2020-10-01,education,297
2020-10-01,music,287
2020-10-01,self help,266
2020-10-01,autobiographies,253
2020-10-01,technology,249
2020-10-01,biographies,202
2020-10-01,pets,163
2020-10-01,gardening,157
2020-10-01,careers,140
2020-10-01,songs,138
2020-10-01,cooking,106
2020-10-01,guidebooks,104
2020-10-01,mathematics,103
2020-09-01,biography & autobiography,11729
2020-09-01,sociology,9159
2020-09-01,history,8294
2020-09-01,self-improvement,5674
2020-09-01,politics,5453
2020-09-01,business,4956
2020-09-01,psychology,3797
2020-09-01,science,3253
2020-09-01,cooking & food,2968
2020-09-01,family & relationships,2415
2020-09-01,religion & spirituality,2380
2020-09-01,nature,2124
2020-09-01,juvenile nonfiction,2073
2020-09-01,health & fitness,2021
2020-09-01,essays,1984
2020-09-01,humor (nonfiction),1965
2020-09-01,new age,1708
2020-09-01,mythology,1357
2020-09-01,travel,1350
2020-09-01,philosophy,1311
2020-09-01,military,1183
2020-09-01,medical,1104
2020-09-01,sports & recreations,1090
2020-09-01,true crime,964
2020-09-01,reference,897
2020-09-01,performing arts,885
2020-09-01,folklore,820
2020-09-01,literary criticism,809
2020-09-01,cookbooks,705
2020-09-01,economics,671
2020-09-01,education,631
2020-09-01,home design & décor,626
2020-09-01,art,621
2020-09-01,technology,569
2020-09-01,language arts,536
2020-09-01,crafts,524
2020-09-01,finance,510
2020-09-01,self help,475
2020-09-01,law,473
2020-09-01,computer technology,427
2020-09-01,biographies,414
2020-09-01,autobiographies,387
2020-09-01,music,291
2020-09-01,gardening,283
2020-09-01,pets,252
2020-09-01,careers,235
2020-09-01,mathematics,197
2020-09-01,nonfiction comics,149
2020-09-01,cooking,147
2020-09-01,guidebooks,117
2020-08-01,biography & autobiography,14353
2020-08-01,sociology,10752
2020-08-01,history,10704
2020-08-01,self-improvement,7984
2020-08-01,business,6396
2020-08-01,politics,5653
2020-08-01,psychology,4454
2020-08-01,science,4423
2020-08-01,family & relationships,4074
2020-08-01,cooking & food,3962
2020-08-01,health & fitness,3116
2020-08-01,humor (nonfiction),2932
2020-08-01,religion & spirituality,2840
2020-08-01,essays,2582
2020-08-01,juvenile nonfiction,2504
2020-08-01,nature,2349
2020-08-01,new age,1849
2020-08-01,mythology,1800
2020-08-01,travel,1691
2020-08-01,true crime,1573
2020-08-01,philosophy,1510
2020-08-01,medical,1443
2020-08-01,sports & recreations,1417
2020-08-01,performing arts,1239
2020-08-01,literary criticism,1222
2020-08-01,military,1190
2020-08-01,reference,1136
2020-08-01,folklore,1126
2020-08-01,technology,1002
2020-08-01,art,847
2020-08-01,economics,824
2020-08-01,computer technology,813
2020-08-01,self help,751
2020-08-01,home design & décor,741
2020-08-01,finance,726
2020-08-01,language arts,726
2020-08-01,education,639
2020-08-01,crafts,591
2020-08-01,law,495
2020-08-01,gardening,471
2020-08-01,music,428
2020-08-01,careers,344
2020-08-01,pets,338
2020-08-01,mathematics,238
2020-08-01,cookbooks,126
2020-07-01,biography & autobiography,22406
2020-07-01,sociology,17603
2020-07-01,history,15344
2020-07-01,self-improvement,12053
2020-07-01,politics,10269
2020-07-01,business,9629
2020-07-01,psychology,7054
2020-07-01,science,5962
2020-07-01,cooking & food,5734
2020-07-01,family & relationships,5190
2020-07-01,health & fitness,4556
2020-07-01,religion & spirituality,4216
2020-07-01,humor (nonfiction),4040
2020-07-01,juvenile nonfiction,3972
2020-07-01,essays,3585
2020-07-01,nature,3363
2020-07-01,new age,2937
2020-07-01,travel,2782
2020-07-01,mythology,2779
2020-07-01,medical,2346
2020-07-01,philosophy,2261
2020-07-01,sports & recreations,2235
2020-07-01,military,2007
2020-07-01,true crime,1926
2020-07-01,performing arts,1911
2020-07-01,literary criticism,1749
2020-07-01,reference,1664
2020-07-01,folklore,1590
2020-07-01,art,1313
2020-07-01,technology,1302
2020-07-01,language arts,1223
2020-07-01,economics,1175
2020-07-01,finance,1143
2020-07-01,home design & décor,1036
2020-07-01,law,997
2020-07-01,computer technology,946
2020-07-01,self help,945
2020-07-01,crafts,917
2020-07-01,education,890
2020-07-01,music,752
2020-07-01,gardening,641
2020-07-01,careers,555
2020-07-01,pets,423
2020-07-01,mathematics,347
2020-06-01,sociology,4190
2020-06-01,biography & autobiography,3801
2020-06-01,history,3081
